Symbol,Date,Close
FB,8/25/2016,123.89
FB,8/26/2016,124.96
FB,8/29/2016,126.54
FB,8/30/2016,125.84
FB,8/31/2016,126.12
FB,9/1/2016,126.17
FB,9/2/2016,126.51
FB,9/6/2016,129.73
FB,9/7/2016,131.05
FB,9/8/2016,130.27
FB,9/9/2016,127.1
FB,9/12/2016,128.69
FB,9/13/2016,127.21
FB,9/14/2016,127.77
FB,9/15/2016,128.35
FB,9/16/2016,129.07
FB,9/19/2016,128.65
FB,9/20/2016,128.64
FB,9/21/2016,129.94
FB,9/22/2016,130.08
FB,9/23/2016,127.96
FB,9/26/2016,127.31
FB,9/27/2016,128.69
FB,9/28/2016,129.23
FB,9/29/2016,128.09
FB,9/30/2016,128.27
FB,10/3/2016,128.77
FB,10/4/2016,128.19
FB,10/5/2016,128.47
FB,10/6/2016,128.74
FB,10/7/2016,128.99
FB,10/10/2016,130.24
FB,10/11/2016,128.88
FB,10/12/2016,129.05
FB,10/13/2016,127.82
FB,10/14/2016,127.88
FB,10/17/2016,127.54
FB,10/18/2016,128.57
FB,10/19/2016,130.11
FB,10/20/2016,130
FB,10/21/2016,132.07
FB,10/24/2016,133.28
FB,10/25/2016,132.29
FB,10/26/2016,131.04
FB,10/27/2016,129.69
FB,10/28/2016,131.29
FB,10/31/2016,130.99
FB,11/1/2016,129.5
FB,11/2/2016,127.17
FB,11/3/2016,120
FB,11/4/2016,120.75
FB,11/7/2016,122.15
FB,11/8/2016,124.22
FB,11/9/2016,123.18
FB,11/10/2016,120.8
FB,11/11/2016,119.02
FB,11/14/2016,115.08
FB,11/15/2016,117.2
FB,11/16/2016,116.34
FB,11/17/2016,117.79
FB,11/18/2016,117.02
FB,11/21/2016,121.77
FB,11/22/2016,121.47
FB,11/23/2016,120.84
FB,11/25/2016,120.38
FB,11/28/2016,120.41
FB,11/29/2016,120.87
FB,11/30/2016,118.42
FB,12/1/2016,115.1
FB,12/2/2016,115.4
FB,12/5/2016,117.43
FB,12/6/2016,117.31
FB,12/7/2016,117.95
FB,12/8/2016,118.91
FB,12/9/2016,119.68
FB,12/12/2016,117.77
FB,12/13/2016,120.31
FB,12/14/2016,120.21
FB,12/15/2016,120.57
FB,12/16/2016,119.87
FB,12/19/2016,119.24
FB,12/20/2016,119.09
FB,12/21/2016,119.04
FB,12/22/2016,117.4
FB,12/23/2016,117.27
FB,12/27/2016,118.01
FB,12/28/2016,116.92
FB,12/29/2016,116.35
FB,12/30/2016,115.05
FB,1/3/2017,116.86
FB,1/4/2017,118.69
FB,1/5/2017,120.67
FB,1/6/2017,123.41
FB,1/9/2017,124.9
FB,1/10/2017,124.35
FB,1/11/2017,126.09
FB,1/12/2017,126.62
FB,1/13/2017,128.34
FB,1/17/2017,127.87
FB,1/18/2017,127.92
FB,1/19/2017,127.55
FB,1/20/2017,127.04
FB,1/23/2017,128.93
FB,1/24/2017,129.37
FB,1/25/2017,131.48
FB,1/26/2017,132.78
FB,1/27/2017,132.18
FB,1/30/2017,130.98
FB,1/31/2017,130.32
FB,2/1/2017,133.23
FB,2/2/2017,130.84
FB,2/3/2017,130.98
FB,2/6/2017,132.06
FB,2/7/2017,131.84
FB,2/8/2017,134.2
FB,2/9/2017,134.14
FB,2/10/2017,134.19
FB,2/13/2017,134.05
FB,2/14/2017,133.85
FB,2/15/2017,133.44
FB,2/16/2017,133.84
FB,2/17/2017,133.53
FB,2/21/2017,133.72
FB,2/22/2017,136.12
FB,2/23/2017,135.36
FB,2/24/2017,135.44
FB,2/27/2017,136.41
FB,2/28/2017,135.54
FB,3/1/2017,137.42
FB,3/2/2017,136.76
FB,3/3/2017,137.17
FB,3/6/2017,137.42
FB,3/7/2017,137.3
FB,3/8/2017,137.72
FB,3/9/2017,138.24
FB,3/10/2017,138.79
FB,3/13/2017,139.6
FB,3/14/2017,139.32
FB,3/15/2017,139.72
FB,3/16/2017,139.99
FB,3/17/2017,139.84
FB,3/20/2017,139.94
FB,3/21/2017,138.51
FB,3/22/2017,139.59
FB,3/23/2017,139.53
FB,3/24/2017,140.34
FB,3/27/2017,140.32
FB,3/28/2017,141.76
FB,3/29/2017,142.65
FB,3/30/2017,142.41
FB,3/31/2017,142.05
FB,4/3/2017,142.28
FB,4/4/2017,141.73
FB,4/5/2017,141.85
FB,4/6/2017,141.17
FB,4/7/2017,140.78
FB,4/10/2017,141.04
FB,4/11/2017,139.92
FB,4/12/2017,139.58
FB,4/13/2017,139.39
FB,4/17/2017,141.42
FB,4/18/2017,140.96
FB,4/19/2017,142.27
FB,4/20/2017,143.8
FB,4/21/2017,143.68
FB,4/24/2017,145.47
FB,4/25/2017,146.49
FB,4/26/2017,146.56
FB,4/27/2017,147.7
FB,4/28/2017,150.25
FB,5/1/2017,152.46
FB,5/2/2017,152.78
FB,5/3/2017,151.8
FB,5/4/2017,150.85
FB,5/5/2017,150.24
FB,5/8/2017,151.06
FB,5/9/2017,150.48
FB,5/10/2017,150.29
FB,5/11/2017,150.04
